thisN,thisTrialN,thisRepN,expBlk.thisRepN,expBlk.thisTrialN,expBlk.thisN,expBlk.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,loadExpVar.started,loadExpVar.stopped,blockInit.started,blockInit.stopped,trlInit.started,trlInit.stopped,fixationCircle.started,fixationCircle.stopped,retrocue.started,retrocue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.08846439999979339,0.08899300000121002,,,,,,,,,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
0,0,0,0,0,0,0,0,0,0,0,0.1521147999992536,,,,0.08945110000058776,0.08993810000174562,0.13345230000049924,0.13409990000218386,0.15360650000002352,0.15416460000051302,0.16807740000149352,0.16864569999961532,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
1,0,1,0,0,0,0,1,0,1,0,0.19956699999966077,,,,,,0.18487520000053337,0.18524080000133836,0.20102530000076513,0.20155510000040522,0.217574300000706,0.21814920000178972,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
2,0,2,0,0,0,0,2,0,2,0,0.24933940000119037,,,,,,0.23465349999969476,0.23499459999948158,0.2509548999987601,0.25142480000067735,0.26771329999974114,0.2682725000013306,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
3,0,3,0,0,0,0,3,0,3,0,0.29960489999939455,,,,,,0.28552290000152425,0.2857497000004514,0.3011828000016976,0.3016291000021738,0.31794929999887245,0.3185096000015619,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
4,0,4,0,0,0,0,4,0,4,0,0.34914860000208137,,,,,,0.33522630000152276,0.33555730000080075,0.3506721000012476,0.3512007999997877,0.36721939999915776,0.36767479999980424,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
5,0,5,0,0,0,0,5,0,5,0,0.3993661000022257,,,,,,0.3851020000001881,0.38533019999886164,0.4011117000009108,0.40169650000098045,0.41728259999945294,0.4177836999988358,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
6,0,6,0,0,0,0,6,0,6,0,0.4493426000008185,,,,,,0.43507880000106525,0.4354227000003448,0.45084940000015195,0.4513498000014806,0.46757939999952214,0.46811019999950076,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
7,0,7,0,0,0,0,7,0,7,0,0.4998126999998931,,,,,,0.48501799999939976,0.4853532000015548,0.501592200002051,0.5020825999999943,0.5182855999992171,0.5187264000014693,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
8,0,8,0,0,0,0,8,0,8,0,0.5492593000017223,,,,,,0.5348840000006021,0.5351047000003746,0.5506599000000278,0.5510524000019359,0.5670162999995227,0.567459099998814,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
9,0,9,0,0,0,0,9,0,9,0,0.5995561000017915,,,,,,0.584676300000865,0.5851595999993151,0.6009900999997626,0.601431600000069,0.6174878999991051,0.6179116000021168,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
10,0,10,0,0,0,0,10,0,10,0,0.6495097000006353,,,,,,0.6344878999989305,0.6348133999999845,0.6508433000017249,0.6511411999999837,0.6670983000003616,0.6674366000006557,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
11,0,11,0,0,0,0,11,0,11,0,0.6991383999993559,,,,,,0.6839475000015227,0.6841501999988395,0.700611200001731,0.7010845000004338,0.7177422999993723,0.7181406999989122,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,024756,001,2025-05-05_17h41.02.802,KeoghRevisedRetrocueTask,2024.2.4,59.91909723533918,2025-05-05 17h41.07.468419 -0700,
0,0,0,1,0,1,0,0,0,0,0,,,,,0.7782466999997268,0.7787686000010581,,,,,,,,,,,,,,
